family,cell,n,wins_up,wr_up,p,wilson_lo,wilson_hi,p_side,q_bh
F1_hist4,15,5861,2725,0.46493772393789456,8.434097998742697e-08,0.4521954738580975,0.477725907138791,4.2170489993713484e-08,9.277507798616966e-07
F1_hist5,0,2877,1465,0.5092109836635385,0.3323126606636644,0.4909432409139393,0.5274541607342458,0.1661563303318322,0.27245510066834594
F1_hist5,1,3089,1624,0.5257364842991259,0.004464123958942452,0.5081061706318966,0.5433028637008024,0.002232061979471226,0.010172609539563312
F1_hist5,2,3223,1709,0.5302513186472231,0.000630474457794283,0.5129949585166456,0.5474356495429504,0.0003152372288971415,0.0018914233733828489
F1_hist5,3,3327,1752,0.5266005410279531,0.002273635075061295,0.5096134354098553,0.5435262875958858,0.0011368175375306474,0.006002396598161819
F1_hist5,4,3240,1682,0.5191358024691358,0.030688096933437912,0.5019190842462065,0.5363071965931538,0.015344048466718956,0.05127631386346588
F1_hist5,5,3447,1782,0.5169712793733682,0.048164619117273814,0.5002793950559776,0.5336253776232436,0.024082309558636907,0.07143516543236116
F1_hist5,6,3388,1717,0.5067886658795749,0.4394623186917994,0.48995546434998005,0.5236064897224034,0.2197311593458997,0.3240485788063355
F1_hist5,7,3217,1561,0.48523469070562636,0.09744276408303104,0.4679918495035152,0.5025127540137767,0.04872138204151552,0.12471425459126471
F1_hist5,8,3216,1637,0.5090174129353234,0.31484014952219774,0.4917388042684456,0.5262745042123197,0.15742007476109887,0.26470636775114714
F1_hist5,9,3342,1681,0.5029922202274087,0.7424162022665173,0.48604674789862545,0.5199308213921623,0.37120810113325864,0.4394571242115708
F1_hist5,10,3299,1688,0.511670203091846,0.1857636323253995,0.49460899921338863,0.5287042592849904,0.09288181616269975,0.18445766321097426
F1_hist5,11,3537,1701,0.48091603053435117,0.024236976742835134,0.46447951071105553,0.4973939602739218,0.012118488371417567,0.04265707906738983
F1_hist5,12,3362,1703,0.5065437239738251,0.4583348662277387,0.48964577167896944,0.5234267389228368,0.22916743311386936,0.3240485788063355
F1_hist5,13,3434,1705,0.4965055329062318,0.6947027584619696,0.4797957398282996,0.5132231357359498,0.3473513792309848,0.42258416643769575
F1_hist5,14,3433,1760,0.5126711331197203,0.14215228096104912,0.4959457953601152,0.5293681440428528,0.07107614048052456,0.15636750905715405
F1_hist5,15,3136,1592,0.5076530612244898,0.4013127020616903,0.49015645289284654,0.5251309424967807,0.20065635103084514,0.3073844891684037
